,ID,Label,Category,Set
757,B,ohp,heavy,Low
758,B,ohp,heavy,Low
759,B,ohp,heavy,Low
760,B,ohp,heavy,Low
761,B,ohp,heavy,Low
762,B,ohp,heavy,Low
763,B,ohp,heavy,Low
764,B,ohp,heavy,Low
765,B,ohp,heavy,Low
766,B,ohp,heavy,Low
767,B,ohp,heavy,Low
768,B,ohp,heavy,Low
769,B,ohp,heavy,Low
770,B,ohp,heavy,Low
771,B,ohp,heavy,Low
772,B,ohp,heavy,Low
773,B,ohp,heavy,Low
774,B,ohp,heavy,Low
775,B,ohp,heavy,Low
776,B,ohp,medium,High
777,B,ohp,medium,High
778,B,ohp,medium,High
779,B,ohp,medium,High
780,B,ohp,medium,High
781,B,ohp,medium,High
782,B,ohp,medium,High
783,B,ohp,medium,High
784,B,ohp,medium,High
785,B,ohp,medium,High
786,B,ohp,medium,High
787,B,ohp,medium,High
788,B,ohp,medium,High
789,B,ohp,medium,High
790,B,ohp,medium,High
791,B,ohp,medium,High
792,B,ohp,medium,High
793,B,ohp,medium,High
794,B,ohp,medium,High
795,B,ohp,medium,High
796,B,ohp,medium,High
797,B,ohp,medium,High
798,B,ohp,medium,High
799,B,ohp,medium,High
800,B,ohp,medium,High
801,B,ohp,medium,High
802,B,ohp,medium,High
803,B,ohp,medium,High
804,B,ohp,medium,High
805,B,ohp,medium,High
806,B,ohp,medium,High
807,B,ohp,medium,High
808,B,ohp,medium,High
809,B,ohp,medium,High
810,B,ohp,medium,High
811,B,ohp,medium,High
812,B,ohp,medium,High
813,B,ohp,medium,High
814,B,ohp,medium,High
815,B,ohp,medium,High
816,B,ohp,medium,High
817,B,ohp,medium,High
818,B,ohp,medium,High
819,B,ohp,medium,High
820,B,ohp,medium,High
821,B,ohp,medium,High
822,B,ohp,medium,High
823,B,ohp,medium,High
824,B,ohp,medium,High
825,B,ohp,medium,High
826,B,ohp,medium,High
827,B,ohp,medium,High
828,B,ohp,medium,High
829,B,ohp,medium,High
830,B,ohp,medium,High
831,B,ohp,medium,High
832,B,ohp,medium,High
833,B,ohp,medium,High
834,B,ohp,medium,High
835,B,ohp,medium,High
836,B,ohp,medium,High
837,B,ohp,medium,High
838,B,ohp,medium,High
839,B,ohp,medium,High
840,B,ohp,medium,High
841,B,ohp,medium,High
842,B,ohp,medium,High
843,B,ohp,medium,High
844,B,ohp,medium,High
845,B,ohp,medium,High
846,B,ohp,medium,High
847,B,ohp,medium,High
848,B,ohp,medium,High
849,B,ohp,medium,High
850,B,ohp,medium,High
851,B,ohp,medium,High
852,B,ohp,medium,High
853,B,ohp,medium,High
854,B,ohp,medium,High
855,B,ohp,medium,High
856,B,ohp,medium,High
857,B,ohp,medium,High
858,B,ohp,medium,High
859,B,ohp,medium,High
860,B,ohp,medium,High
861,B,ohp,medium,High
862,B,ohp,medium,High
863,B,ohp,medium,High
864,B,ohp,medium,High
865,B,ohp,medium,High
866,B,ohp,medium,High
867,B,ohp,medium,High
868,B,ohp,medium,High
869,B,ohp,medium,High
870,B,ohp,medium,High
871,B,ohp,medium,High
872,B,ohp,medium,High
873,B,ohp,medium,High
874,B,ohp,medium,High
875,B,ohp,medium,High
876,B,ohp,medium,High
877,B,ohp,medium,High
878,B,ohp,medium,High
879,B,ohp,medium,High
880,B,ohp,medium,High
881,B,ohp,medium,High
882,B,ohp,medium,High
883,B,ohp,medium,High
884,B,ohp,medium,High
885,A,ohp,medium,Mid
886,A,ohp,medium,Mid
887,A,ohp,medium,Mid
888,A,ohp,medium,Mid
889,A,ohp,medium,Mid
890,A,ohp,medium,Mid
891,A,ohp,medium,Mid
892,A,ohp,medium,Mid
893,A,ohp,medium,Mid
894,A,ohp,medium,Mid
895,A,ohp,medium,Mid
896,A,ohp,medium,Mid
897,A,ohp,medium,Mid
898,A,ohp,medium,Mid
899,A,ohp,medium,Mid
900,A,ohp,medium,Mid
901,A,ohp,medium,Mid
902,A,ohp,medium,Mid
903,A,ohp,medium,Mid
904,A,ohp,medium,Mid
905,A,ohp,medium,Mid
906,A,ohp,medium,Mid
907,A,ohp,medium,Mid
908,A,ohp,medium,Mid
909,A,ohp,medium,Mid
910,A,ohp,medium,Mid
911,A,ohp,medium,Mid
912,A,ohp,medium,Mid
913,A,ohp,medium,Mid
914,A,ohp,medium,Mid
915,A,ohp,medium,Mid
916,A,ohp,medium,Mid
917,A,ohp,medium,Mid
918,A,ohp,medium,Mid
919,A,ohp,medium,Mid
920,A,ohp,medium,Mid
921,A,ohp,medium,Mid
922,A,ohp,medium,Mid
923,A,ohp,medium,Mid
924,A,ohp,medium,Mid
925,A,ohp,medium,Mid
926,A,ohp,medium,Mid
927,A,ohp,medium,Mid
928,A,ohp,medium,Mid
929,A,ohp,medium,Mid
930,A,ohp,medium,Mid
931,A,ohp,medium,Mid
932,A,ohp,medium,Mid
933,A,ohp,medium,Mid
934,A,ohp,medium,Mid
935,A,ohp,medium,Mid
936,A,ohp,medium,Mid
937,A,ohp,medium,Mid
938,A,ohp,medium,Mid
939,A,ohp,medium,Mid
940,A,ohp,medium,Mid
941,A,ohp,medium,Mid
942,A,ohp,medium,Mid
943,A,ohp,medium,Mid
944,A,ohp,medium,Mid
945,A,ohp,medium,Mid
946,A,ohp,medium,Mid
947,A,ohp,medium,Mid
948,A,ohp,medium,Mid
949,A,ohp,medium,Mid
950,A,ohp,medium,Mid
951,A,ohp,medium,Mid
952,A,ohp,medium,Mid
